,id,latitude,longitude,track_id,time
540,749,-10.91769218,-37.04709118,13,2014-09-30 10:23:19
550,759,-10.91838263,-37.04880066,13,2014-09-30 10:25:05
560,769,-10.91843375,-37.05144372,13,2014-09-30 10:26:51
570,779,-10.91843082,-37.05427083,13,2014-09-30 10:28:36
580,789,-10.91848641,-37.05582653,13,2014-09-30 10:30:21
590,799,-10.91848882,-37.05861348,13,2014-09-30 10:32:11
600,809,-10.91858083,-37.06414215,13,2014-09-30 10:33:57
610,819,-10.91867941,-37.06713852,13,2014-09-30 10:35:43
620,829,-10.91863365,-37.07076375,13,2014-09-30 10:37:30
630,839,-10.91832038,-37.07348678,13,2014-09-30 10:39:17
640,849,-10.91832968,-37.07419532,13,2014-09-30 10:41:03
650,859,-10.91862898,-37.0811015,13,2014-09-30 10:42:47
660,869,-10.92088373,-37.09034097,13,2014-09-30 10:44:32
670,879,-10.92140382,-37.10007076,13,2014-09-30 10:46:15
680,889,-10.89686935,-37.05346637,14,2014-10-08 10:20:38
690,899,-10.91106469,-37.07039257,16,2014-10-08 13:41:24
700,909,-10.91145419,-37.06586694,16,2014-10-08 13:42:21
710,919,-10.91069302,-37.06379217,16,2014-10-08 13:43:14
720,929,-10.90954249,-37.06323076,16,2014-10-08 13:44:09
730,939,-10.90641888,-37.06108662,16,2014-10-08 13:45:03
740,949,-10.90316524,-37.05984431,16,2014-10-08 13:45:59
750,959,-10.89983202,-37.0590348,16,2014-10-08 13:46:54
760,969,-10.89893697,-37.0585505,16,2014-10-08 13:47:49
770,979,-10.89876495,-37.05809176,16,2014-10-08 13:48:46
780,989,-10.89877318,-37.05801001,16,2014-10-08 13:49:43
790,999,-10.89866617,-37.05778977,16,2014-10-08 13:50:37
800,1009,-10.89732929,-37.05789227,16,2014-10-08 13:51:33
810,1019,-10.89670929,-37.05638987,16,2014-10-08 13:52:29
820,1029,-10.89660797,-37.05335822,16,2014-10-08 13:53:23
830,1039,-10.896905499999999,-37.05341849,17,2014-10-08 13:41:13
840,1049,-10.8964454,-37.05376647,17,2014-10-08 13:42:10
850,1059,-10.89662549,-37.05585079,17,2014-10-08 13:43:03
860,1069,-10.89707767,-37.05775834,17,2014-10-08 13:43:58
870,1079,-10.89742143,-37.05802221,17,2014-10-08 13:44:52
880,1089,-10.90127605,-37.05604642,17,2014-10-08 13:45:48
890,1099,-10.90236466,-37.05524333,17,2014-10-08 13:46:43
900,1109,-10.90306858,-37.05728638,17,2014-10-08 13:47:37
910,1119,-10.90438371,-37.06042155,17,2014-10-08 13:48:34
920,1129,-10.90572617,-37.06093143,17,2014-10-08 13:49:31
930,1139,-10.90646538,-37.06144708,17,2014-10-08 13:50:26
940,1149,-10.90595152,-37.06481843,17,2014-10-08 13:51:22
950,1159,-10.9053413,-37.06849338,17,2014-10-08 13:52:18
960,1169,-10.90512337,-37.07119707,17,2014-10-08 13:53:12
970,1179,-10.90667219,-37.07181285,17,2014-10-08 13:59:24
980,1189,-10.90849121,-37.07251041,17,2014-10-08 14:00:20
990,1199,-10.90773953,-37.07307682,17,2014-10-08 14:01:15
1000,1209,-10.89736121,-37.05799587,18,2014-10-15 09:35:42
1010,1219,-10.90149677,-37.05581815,18,2014-10-15 09:37:29
1020,1229,-10.90324579,-37.05080638,18,2014-10-15 09:39:14
1030,1239,-10.91133679,-37.05267613,19,2014-10-15 09:36:12
1040,1249,-10.91401928,-37.05278626,19,2014-10-15 09:38:00
1050,1259,-10.91773206,-37.05286124,19,2014-10-15 09:39:47
1060,1269,-10.91846288,-37.05507308,19,2014-10-15 09:59:38
1070,1279,-10.91854393,-37.0590754,19,2014-10-15 10:01:22
1080,1289,-10.91864117,-37.06361367,19,2014-10-15 10:03:08
1090,1299,-10.91871544,-37.06866141,19,2014-10-15 10:04:57
1100,1309,-10.918553900000001,-37.07100317,19,2014-10-15 10:06:45
1110,1319,-10.91833543,-37.07477267,19,2014-10-15 10:08:29
1120,1329,-10.91859778,-37.08145844,19,2014-10-15 10:10:15
1130,1339,-10.92219332,-37.09375387,19,2014-10-15 10:12:00
1140,1349,-10.9014033333333,-37.056033333333296,20,2014-10-16 12:56:48
1150,1359,-10.902611666666699,-37.055071666666706,20,2014-10-16 12:57:45
1160,1369,-10.905211666666698,-37.053205,20,2014-10-16 12:58:42
1170,1379,-10.906213333333302,-37.052488333333294,20,2014-10-16 12:59:34
1180,1389,-10.908101666666699,-37.0517266666667,20,2014-10-16 13:00:26
1190,1399,-10.908064999999999,-37.051790000000004,20,2014-10-16 13:01:23
1200,1409,-10.908023333333302,-37.0517583333333,20,2014-10-16 13:02:16
1210,1419,-10.908011666666699,-37.0517833333333,20,2014-10-16 13:03:12
1220,1429,-10.908055000000001,-37.051765,20,2014-10-16 13:04:05
1230,1439,-10.90832,-37.0526416666667,20,2014-10-16 13:05:00
1240,1449,-10.908616666666699,-37.0526183333333,20,2014-10-16 13:05:55
1250,1459,-10.911,-37.052675,20,2014-10-16 13:06:48
1260,1469,-10.911946666666699,-37.0527066666667,20,2014-10-16 13:07:45
1270,1479,-10.914028333333302,-37.05274,20,2014-10-16 13:08:39
1280,1489,-10.916030000000001,-37.051635,20,2014-10-16 13:09:33
1290,1499,-10.91768,-37.051629999999996,20,2014-10-16 13:10:27
1300,1509,-10.919816666666698,-37.0516516666667,20,2014-10-16 13:11:22
1310,1519,-10.922333333333302,-37.051461666666704,20,2014-10-16 13:12:19
1320,1529,-10.922475,-37.051393333333294,20,2014-10-16 13:13:17
1330,1539,-10.902611666666699,-37.055071666666706,21,2014-10-16 12:57:34
1340,1549,-10.904943333333302,-37.0534183333333,21,2014-10-16 12:58:31
1350,1559,-10.905636666666698,-37.052925,21,2014-10-16 12:59:23
1360,1569,-10.90811,-37.051455,21,2014-10-16 13:00:16
1370,1579,-10.908088333333302,-37.051773333333294,21,2014-10-16 13:01:11
1380,1589,-10.908023333333302,-37.0517583333333,21,2014-10-16 13:02:06
1390,1599,-10.908061666666699,-37.051685,21,2014-10-16 13:03:00
1400,1609,-10.9080633333333,-37.051753333333295,21,2014-10-16 13:03:54
1410,1619,-10.908176666666698,-37.0527033333333,21,2014-10-16 13:04:49
1420,1629,-10.908453333333302,-37.0525916666667,21,2014-10-16 13:05:44
1430,1639,-10.910423333333302,-37.052653333333296,21,2014-10-16 13:06:38
1440,1649,-10.911946666666699,-37.0527066666667,21,2014-10-16 13:07:33
1450,1659,-10.913411666666699,-37.05273,21,2014-10-16 13:08:27
1460,1669,-10.915878333333302,-37.051618333333295,21,2014-10-16 13:09:23
1470,1679,-10.917568333333302,-37.0516366666667,21,2014-10-16 13:10:17
1480,1689,-10.9191716666667,-37.051645,21,2014-10-16 13:11:12
1490,1699,-10.922318333333301,-37.05162666666671,21,2014-10-16 13:12:07
1500,1709,-10.922475,-37.051393333333294,21,2014-10-16 13:13:06
1510,1719,-10.922441666666698,-37.051515,22,2014-10-16 15:19:50
1520,1729,-10.922875,-37.051668333333296,22,2014-10-16 15:20:45
1530,1739,-10.923171666666699,-37.048671666666706,22,2014-10-16 15:21:45
1540,1749,-10.923665,-37.045398333333296,22,2014-10-16 15:22:41
1550,1759,-10.9246,-37.0443316666667,22,2014-10-16 15:23:52
1560,1769,-10.925721666666698,-37.04397166666671,22,2014-10-16 15:24:55
1570,1779,-10.9271633333333,-37.04347,22,2014-10-16 15:25:51
1580,1789,-10.928606666666699,-37.0440883333333,22,2014-10-16 15:26:54
1590,1799,-10.929026666666699,-37.0446,22,2014-10-16 15:27:49
1600,1809,-10.930116666666699,-37.045908333333294,22,2014-10-16 15:28:46
1610,1819,-10.930771666666699,-37.0468183333333,22,2014-10-16 15:29:39
1620,1829,-10.930863333333301,-37.04692666666671,22,2014-10-16 15:30:34
1630,1839,-10.933871666666699,-37.0498133333333,22,2014-10-16 15:31:29
1640,1849,-10.934116666666698,-37.050015,22,2014-10-16 15:32:25
1650,1859,-10.934686666666698,-37.05030666666671,22,2014-10-16 15:33:21
1660,1869,-10.937205,-37.050698333333294,22,2014-10-16 15:34:19
1670,1879,-10.939451666666699,-37.0509383333333,22,2014-10-16 15:35:12
1680,1889,-10.940226666666698,-37.050975,22,2014-10-16 15:36:08
1690,1899,-10.940955,-37.0509833333333,22,2014-10-16 15:37:02
1700,1909,-10.944075,-37.046986666666704,22,2014-10-16 15:37:58
1710,1919,-10.945383333333302,-37.0461933333333,22,2014-10-16 15:38:53
1720,1929,-10.9513283333333,-37.045663333333295,22,2014-10-16 15:39:48
1730,1939,-10.955976666666698,-37.0455683333333,22,2014-10-16 15:40:42
1740,1949,-10.962843333333302,-37.04254,22,2014-10-16 15:41:36
1750,1959,-10.967165,-37.043603333333294,22,2014-10-16 15:42:31
1760,1969,-10.9684533333333,-37.044813333333295,22,2014-10-16 15:43:25
1770,1979,-10.97189,-37.04567,22,2014-10-16 15:44:20
1780,1989,-10.975513333333302,-37.04656,22,2014-10-16 15:45:14
1790,1999,-10.982081666666698,-37.0529783333333,23,2014-10-17 19:25:33
1800,2009,-10.973901666666698,-37.0538733333333,23,2014-10-17 19:26:28
1810,2019,-10.970796666666699,-37.0537866666667,23,2014-10-17 19:27:26
1820,2029,-10.970744999999999,-37.053605,23,2014-10-17 19:28:21
1830,2039,-10.970445,-37.0567816666667,23,2014-10-17 19:29:15
1840,2049,-10.969638333333302,-37.0584833333333,23,2014-10-17 19:30:11
1850,2059,-10.969826666666698,-37.05888,23,2014-10-17 19:31:08
1860,2069,-10.97087,-37.0548033333333,23,2014-10-17 19:32:02
1870,2079,-10.971975,-37.0538883333333,23,2014-10-17 19:32:59
1880,2089,-10.979578333333302,-37.05337,23,2014-10-17 19:33:55
1890,2099,-10.982011666666699,-37.0529783333333,23,2014-10-17 19:34:50
1900,2109,-10.985146666666699,-37.05274,23,2014-10-17 19:35:48
1910,2119,-10.987218333333301,-37.0521683333333,23,2014-10-17 19:36:43
1920,2129,-10.9841566666667,-37.05087,23,2014-10-17 19:37:36
1930,2139,-10.981793333333302,-37.049395000000004,23,2014-10-17 19:38:31
1940,2149,-10.97966,-37.0480883333333,23,2014-10-17 19:39:27
1950,2159,-10.976289999999999,-37.047253333333295,23,2014-10-17 19:40:23
1960,2169,-10.975861666666699,-37.047141666666704,23,2014-10-17 19:41:19
1970,2179,-10.975811666666699,-37.0471366666667,23,2014-10-17 19:42:12
1980,2189,-10.922016666666698,-37.081748333333294,24,2014-10-20 10:44:13
1990,2199,-10.916986666666698,-37.086603333333294,24,2014-10-20 10:45:59
2000,2209,-10.914808333333301,-37.088491666666705,24,2014-10-20 10:47:46
2010,2219,-10.913925,-37.08898,24,2014-10-20 10:49:31
2020,2229,-10.917268333333302,-37.087685,24,2014-10-20 10:51:16
2030,2239,-10.923746666666698,-37.1051116666667,24,2014-10-20 10:56:50
2040,2249,-10.917333333333302,-37.0873583333333,25,2014-10-20 13:38:01
2050,2259,-10.988153333333301,-37.052533333333294,25,2014-10-20 14:02:25
2060,2269,-10.987661666666698,-37.0524116666667,26,2014-10-22 09:23:33
2070,2279,-10.987748333333302,-37.052423333333294,26,2014-10-22 09:25:19
2080,2289,-10.987591666666699,-37.0524116666667,26,2014-10-22 09:27:06
2090,2299,-10.9737083333333,-37.078303333333295,26,2014-10-22 09:39:29
2100,2309,-10.959736666666698,-37.0768616666667,26,2014-10-22 09:43:46
2110,2319,-10.951315,-37.07544,26,2014-10-22 09:45:31
2120,2329,-10.947923333333302,-37.07319333333329,26,2014-10-22 09:47:58
2130,2339,-10.923411666666698,-37.0808833333333,26,2014-10-22 09:58:06
2140,2349,-10.914344999999999,-37.0887233333333,26,2014-10-22 10:05:32
2150,2359,-10.914225,-37.0887666666667,26,2014-10-22 10:07:19
2160,2369,-10.914058333333301,-37.088956666666704,26,2014-10-22 10:09:03
2170,2379,-10.917396666666699,-37.087413333333295,26,2014-10-22 10:10:46
2180,2389,-10.917556666666698,-37.086355,26,2014-10-22 10:12:31
2190,2399,-10.920115,-37.088223333333296,26,2014-10-22 10:14:16
2200,2409,-10.920264999999999,-37.0893883333333,26,2014-10-22 10:16:02
2210,2419,-10.920928333333302,-37.090295000000005,26,2014-10-22 10:17:46
2220,2429,-10.9212033333333,-37.091035,26,2014-10-22 10:19:30
2230,2439,-10.922091666666699,-37.093565000000005,26,2014-10-22 10:21:16
2240,2449,-10.921238333333301,-37.100773333333294,26,2014-10-22 10:23:01
2250,2459,-10.924553333333302,-37.10474,26,2014-10-22 10:24:48
2260,2469,-10.925196666666698,-37.1048666666667,26,2014-10-22 10:26:34
2270,2479,-10.925286666666699,-37.103790000000004,26,2014-10-22 10:28:19
2280,2489,-10.9256583333333,-37.103308333333295,26,2014-10-22 10:30:05
2290,2499,-10.926281666666698,-37.102168333333296,26,2014-10-22 10:31:49
2300,2509,-10.926661666666698,-37.102165,26,2014-10-22 10:42:27
2310,2519,-10.926613333333302,-37.102076666666704,26,2014-10-22 10:44:11
2320,2529,-10.9264133333333,-37.1023283333333,26,2014-10-22 10:45:57
2330,2539,-10.926556666666698,-37.1022466666667,26,2014-10-22 10:48:14
2340,2549,-10.926565,-37.102371666666706,26,2014-10-22 10:50:03
2350,2559,-10.926555,-37.1022666666667,26,2014-10-22 10:51:52
2360,2569,-10.9265533333333,-37.1023366666667,26,2014-10-22 10:53:36
2370,2579,-10.926701666666698,-37.10219,26,2014-10-22 10:57:27
2380,2589,-10.926781666666699,-37.1023533333333,26,2014-10-22 10:59:29
2390,2599,-10.926718333333302,-37.1023133333333,26,2014-10-22 11:02:06
2400,2609,-10.926576666666698,-37.102318333333294,26,2014-10-22 11:04:44
2410,2619,-10.926523333333302,-37.102035,26,2014-10-22 11:11:18
2420,2629,-10.926106666666698,-37.102728333333296,26,2014-10-22 11:13:03
2430,2639,-10.926118333333301,-37.103683333333294,26,2014-10-22 11:14:46
2440,2649,-10.925685000000001,-37.10331,26,2014-10-22 11:16:34
2450,2659,-10.925666666666698,-37.103258333333294,26,2014-10-22 11:18:19
2460,2669,-10.9876883333333,-37.0523183333333,27,2014-10-22 09:23:22
2470,2679,-10.9877216666667,-37.0524816666667,27,2014-10-22 09:25:09
2480,2689,-10.987585000000001,-37.0524133333333,27,2014-10-22 09:26:55
2490,2699,-10.978993333333301,-37.06667,27,2014-10-22 09:35:31
2500,2709,-10.960595,-37.0770166666667,27,2014-10-22 09:43:36
2510,2719,-10.95165,-37.0754883333333,27,2014-10-22 09:45:20
2520,2729,-10.948335,-37.073938333333295,27,2014-10-22 09:47:07
2530,2739,-10.924156666666699,-37.080653333333295,27,2014-10-22 09:57:56
2540,2749,-10.914344999999999,-37.0887233333333,27,2014-10-22 10:05:21
2550,2759,-10.914225,-37.0887666666667,27,2014-10-22 10:07:08
2560,2769,-10.914188333333302,-37.088823333333295,27,2014-10-22 10:08:53
2570,2779,-10.917331666666698,-37.08746666666671,27,2014-10-22 10:10:36
2580,2789,-10.91752,-37.086909999999996,27,2014-10-22 10:12:20
2590,2799,-10.920056666666698,-37.087998333333296,27,2014-10-22 10:14:05
2600,2809,-10.9202966666667,-37.089226666666704,27,2014-10-22 10:15:51
2610,2819,-10.920896666666698,-37.09023,27,2014-10-22 10:17:36
2620,2829,-10.921118333333302,-37.0908916666667,27,2014-10-22 10:19:20
2630,2839,-10.921898333333301,-37.0929983333333,27,2014-10-22 10:21:06
2640,2849,-10.921308333333302,-37.1002716666667,27,2014-10-22 10:22:51
2650,2859,-10.924558333333302,-37.104746666666706,27,2014-10-22 10:24:37
2660,2869,-10.9251266666667,-37.1048166666667,27,2014-10-22 10:26:23
2670,2879,-10.925263333333302,-37.1038783333333,27,2014-10-22 10:28:09
2680,2889,-10.9256916666667,-37.103328333333295,27,2014-10-22 10:29:55
2690,2899,-10.926205,-37.102348333333296,27,2014-10-22 10:31:38
2700,2909,-10.926518333333302,-37.1022216666667,27,2014-10-22 10:33:24
2710,2919,-10.92667,-37.1021133333333,27,2014-10-22 10:44:01
2720,2929,-10.926328333333302,-37.102188333333295,27,2014-10-22 10:45:46
2730,2939,-10.92646,-37.1021566666667,27,2014-10-22 10:48:04
2740,2949,-10.92657,-37.1023116666667,27,2014-10-22 10:49:52
2750,2959,-10.9266,-37.1022966666667,27,2014-10-22 10:51:41
2760,2969,-10.926648333333302,-37.1023,27,2014-10-22 10:53:25
2770,2979,-10.926464999999999,-37.102295,27,2014-10-22 10:55:57
2780,2989,-10.926628333333301,-37.102325,27,2014-10-22 10:59:09
2790,2999,-10.926741666666699,-37.1022483333333,27,2014-10-22 11:01:56
2800,3009,-10.92658,-37.102245,27,2014-10-22 11:04:29
2810,3019,-10.926526666666698,-37.102073333333294,27,2014-10-22 11:11:07
2820,3029,-10.926160000000001,-37.1026433333333,27,2014-10-22 11:12:53
2830,3039,-10.92612,-37.103605,27,2014-10-22 11:14:36
2840,3049,-10.925686666666698,-37.1033666666667,27,2014-10-22 11:16:23
2850,3059,-10.925666666666698,-37.103258333333294,27,2014-10-22 11:18:08
2860,3069,-10.89757919,-37.05837197,28,2014-10-23 18:09:53
2870,3079,-10.9000924,-37.05685885,28,2014-10-23 18:10:49
2880,3089,-10.90275605,-37.05507772,28,2014-10-23 18:11:41
2890,3099,-10.90292848,-37.05932374,28,2014-10-23 18:12:35
2900,3109,-10.90479162,-37.06053969,28,2014-10-23 18:13:31
2910,3119,-10.90614829,-37.06293203,28,2014-10-23 18:14:27
2920,3129,-10.90998318,-37.06639395,28,2014-10-23 18:15:22
2930,3139,-10.91020293,-37.0665104,28,2014-10-23 18:16:13
2940,3149,-10.91031855,-37.06665518,28,2014-10-23 18:17:07
2950,3159,-10.91003852,-37.06863121,28,2014-10-23 18:18:02
2960,3169,-10.90986204,-37.0699597,28,2014-10-23 18:18:57
2970,3179,-10.90940895,-37.07104508,28,2014-10-23 18:19:51
2980,3189,-10.90982999,-37.07066228,28,2014-10-23 18:20:48
2990,3199,-10.90981455,-37.07023138,28,2014-10-23 18:21:44
3000,3209,-10.9097129,-37.07029002,28,2014-10-23 18:22:39
3010,3219,-10.90971706,-37.07029076,28,2014-10-23 18:23:32
3020,3229,-10.90971762,-37.07029343,28,2014-10-23 18:24:26
3030,3239,-10.90958998,-37.07066429,28,2014-10-23 18:25:35
3040,3249,-10.90961367,-37.07067532,28,2014-10-23 18:26:31
3050,3259,-10.9098649,-37.07109375,28,2014-10-23 18:27:25
3060,3269,-10.90975922,-37.07085659,28,2014-10-23 18:28:48
3070,3279,-10.90938705,-37.07105976,28,2014-10-23 18:29:44
3080,3289,-10.90782723,-37.07084984,28,2014-10-23 18:30:37
3090,3299,-10.90633957,-37.07092106,28,2014-10-23 18:31:34
3100,3309,-10.908103599999999,-37.07198851,28,2014-10-23 18:32:28
3110,3319,-10.90767042,-37.0730363,28,2014-10-23 18:33:24
3120,3329,-10.90761138,-37.07311588,28,2014-10-23 18:34:43
3130,3339,-10.90762143,-37.07311796,28,2014-10-23 18:35:37
3140,3349,-10.9076826,-37.07326979,28,2014-10-23 18:36:32
3150,3359,-10.90768578,-37.07327652,28,2014-10-23 18:37:28
3160,3369,-10.90768627,-37.07327379,28,2014-10-23 18:38:23
3170,3379,-10.90768533,-37.07327513,28,2014-10-23 18:39:16
3180,3390,-10.45476836,-36.49573189,30,2014-11-04 18:39:04
3190,3400,-10.45004291,-36.4981227,30,2014-11-04 18:39:59
3200,3410,-10.44485844,-36.49766783,30,2014-11-04 18:40:55
3210,3420,-10.44142248,-36.49837646,30,2014-11-04 18:41:49
3220,3430,-10.44406409,-36.50706683,30,2014-11-04 18:42:45
3230,3440,-10.4489905,-36.51510061,30,2014-11-04 18:43:39
3240,3450,-10.45699139,-36.52101753,30,2014-11-04 18:44:35
3250,3460,-10.46508052,-36.52704574,30,2014-11-04 18:45:30
3260,3470,-10.47037533,-36.53502733,30,2014-11-04 18:46:26
3270,3480,-10.47473279,-36.54227995,30,2014-11-04 18:47:20
3280,3490,-10.48011574,-36.5512336,30,2014-11-04 18:48:16
3290,3500,-10.48564207,-36.56045594,30,2014-11-04 18:49:13
3300,3510,-10.49128374,-36.56986668,30,2014-11-04 18:50:09
3310,3520,-10.49627498,-36.5781452,30,2014-11-04 18:51:05
3320,3530,-10.49962979,-36.58673954,30,2014-11-04 18:52:00
3330,3540,-10.49784439,-36.59650087,30,2014-11-04 18:52:55
3340,3550,-10.49513129,-36.60627974,30,2014-11-04 18:53:53
3350,3560,-10.49226264,-36.61645275,30,2014-11-04 18:54:48
3360,3570,-10.48716194,-36.62181268,30,2014-11-04 18:55:44
3370,3580,-10.47815892,-36.62285992,30,2014-11-04 18:56:37
3380,3590,-10.47133548,-36.62669917,30,2014-11-04 18:57:32
3390,3600,-10.46761662,-36.63356258,30,2014-11-04 18:58:27
3400,3610,-10.46419593,-36.63884479,30,2014-11-04 18:59:22
3410,3620,-10.46079169,-36.63930261,30,2014-11-04 19:00:19
3420,3630,-10.45562991,-36.63970034,30,2014-11-04 19:01:16
3430,3640,-10.44871591,-36.64272289,30,2014-11-04 19:02:11
3440,3650,-10.44662154,-36.64668725,30,2014-11-04 19:03:07
3450,3660,-10.44325537,-36.65373835,30,2014-11-04 19:04:04
3460,3670,-10.43858055,-36.66115507,30,2014-11-04 19:05:01
3470,3680,-10.45690524,-36.49537454,31,2014-11-04 18:38:36
3480,3690,-10.45476836,-36.49573189,31,2014-11-04 18:39:04
3490,3700,-10.45239232,-36.49711198,31,2014-11-04 18:39:31
3500,3710,-10.45004291,-36.4981227,31,2014-11-04 18:39:59
3510,3720,-10.44750671,-36.49808198,31,2014-11-04 18:40:27
3520,3730,-10.44485844,-36.49766783,31,2014-11-04 18:40:55
3530,3740,-10.4418894,-36.49727458,31,2014-11-04 18:41:23
3540,3750,-10.44142248,-36.49837646,31,2014-11-04 18:41:49
3550,3760,-10.44258642,-36.50221463,31,2014-11-04 18:42:17
3560,3770,-10.44406409,-36.50706683,31,2014-11-04 18:42:45
3570,3780,-10.44580956,-36.51175005,31,2014-11-04 18:43:13
3580,3790,-10.4489905,-36.51510061,31,2014-11-04 18:43:39
3590,3800,-10.45282658,-36.51793045,31,2014-11-04 18:44:07
3600,3810,-10.41102279,-36.70105844,30,2014-11-04 19:11:36
3610,3820,-10.40882683,-36.70307615,30,2014-11-04 19:12:03
3620,3830,-10.40810531,-36.70409915,30,2014-11-04 19:12:30
3630,3840,-10.406819300000002,-36.70621574,30,2014-11-04 19:12:58
3640,3850,-10.40443008,-36.70819742,30,2014-11-04 19:13:25
3650,3860,-10.40225582,-36.71076284,30,2014-11-04 19:13:52
3660,3870,-10.40081525,-36.71333669,30,2014-11-04 19:14:21
3670,3880,-10.39775767,-36.71630716,30,2014-11-04 19:14:48
3680,3890,-10.39434075,-36.71958493,30,2014-11-04 19:15:16
3690,3900,-10.39091771,-36.72294249,30,2014-11-04 19:15:45
3700,3910,-10.48564207,-36.56045594,31,2014-11-04 18:49:13
3710,3920,-10.48856703,-36.56535428,31,2014-11-04 18:49:41
3720,3930,-10.37946099,-36.73420188,30,2014-11-04 19:17:10
3730,3940,-10.37663025,-36.73694397,30,2014-11-04 19:17:31
3740,3950,-10.37274959,-36.74074601,30,2014-11-04 19:18:00
3750,3960,-10.36909874,-36.74440746,30,2014-11-04 19:18:28
3760,3970,-10.36507833,-36.74835552,30,2014-11-04 19:18:56
3770,3980,-10.361465699999998,-36.75190168,30,2014-11-04 19:19:24
3780,3990,-10.35812216,-36.75518455,30,2014-11-04 19:19:52
3790,4000,-10.35622014,-36.75671529,30,2014-11-04 19:20:18
3800,4010,-10.35519916,-36.75841388,30,2014-11-04 19:20:46
3810,4020,-10.35363377,-36.7617051,30,2014-11-04 19:21:14
3820,4030,-10.35147447,-36.76625009,30,2014-11-04 19:21:43
3830,4040,-10.34950706,-36.77027619,30,2014-11-04 19:22:10
3840,4050,-10.3485575,-36.77530599,30,2014-11-04 19:22:37
3850,4060,-10.34842852,-36.78018359,30,2014-11-04 19:23:04
3860,4070,-10.34889184,-36.78480606,30,2014-11-04 19:23:32
3870,4080,-10.3497009,-36.78893404,30,2014-11-04 19:24:00
